sample_no,project_code,material_code,test_item,submitted_on,completed_on,result,cost,currency,turnaround_days
AST-00266,Project J,Composite-Z,Chemical Compatibility,2026-03-11,2026-03-20,PASS,115.27,USD,9
AST-00267,Project E,Ceramic-C,Thermal Cycling,2026-04-10,2026-04-19,PASS,119.94,USD,9
AST-00268,Project F,Composite-Z,Impact Resistance,2026-03-05,2026-03-12,PASS,123.01,USD,7
AST-00269,Project F,Polymer-A,Humidity Exposure,2026-04-16,2026-04-20,PASS,119.23,USD,4
AST-00270,Project F,Copper-M,Humidity Exposure,2026-03-12,2026-03-20,PASS,99.93,USD,8
AST-00271,Project C,Alloy-X,Salt Spray,2026-05-08,2026-05-12,PASS,127.83,USD,4
AST-00272,Project G,Composite-Z,Thermal Cycling,2026-03-24,2026-03-31,PASS,113.94,USD,7
AST-00273,Project I,Copper-M,Chemical Compatibility,2026-07-10,2026-07-19,PASS,84.34,USD,9
AST-00274,Project D,Composite-Z,Tensile Strength,2026-04-15,2026-04-23,PASS,127.20,USD,8
AST-00275,Project I,Alloy-X,Humidity Exposure,2026-06-18,2026-06-24,FAIL,87.64,USD,6
AST-00276,Project D,Ceramic-C,Impact Resistance,2026-02-06,2026-02-10,PASS,116.17,USD,4
AST-00277,Project E,Ceramic-C,Chemical Compatibility,2026-06-06,2026-06-11,PASS,120.40,USD,5
AST-00278,Project F,Ceramic-C,Humidity Exposure,2026-07-10,2026-07-20,PASS,124.53,USD,10
AST-00279,Project J,Ceramic-C,Thermal Cycling,2026-04-19,2026-04-24,PASS,115.94,USD,5
AST-00280,Project H,Copper-M,Thermal Cycling,2026-05-12,2026-05-21,PASS,116.17,USD,9
AST-00281,Project B,Composite-Z,Chemical Compatibility,2026-05-01,2026-05-11,PASS,95.16,USD,10
AST-00282,Project H,Copper-M,Impact Resistance,2026-02-28,2026-03-06,PASS,124.52,USD,6
AST-00283,Project I,Alloy-X,Humidity Exposure,2026-03-12,2026-03-16,PASS,88.01,USD,4
AST-00284,Project E,Ceramic-C,Impact Resistance,2026-02-20,2026-02-26,PASS,126.71,USD,6
AST-00285,Project J,Polymer-A,Tensile Strength,2026-03-15,2026-03-22,PASS,87.71,USD,7
AST-00286,Project J,Polymer-A,Tensile Strength,2026-06-11,2026-06-18,PASS,125.93,USD,7
AST-00287,Project F,Polymer-A,Tensile Strength,2026-05-08,2026-05-17,PASS,91.73,USD,9
AST-00288,Project F,Composite-Z,Humidity Exposure,2026-06-24,2026-07-02,FAIL,112.64,USD,8
AST-00289,Project C,Composite-Z,Impact Resistance,2026-05-12,2026-05-21,PASS,90.39,USD,9
AST-00290,Project C,Ceramic-C,Tensile Strength,2026-04-14,2026-04-22,FAIL,98.51,USD,8
AST-00291,Project I,Composite-Z,Chemical Compatibility,2026-02-02,2026-02-11,PASS,114.46,USD,9
AST-00292,Project A,Polymer-A,Thermal Cycling,2026-03-15,2026-03-24,PASS,90.53,USD,9
AST-00293,Project D,Alloy-X,Salt Spray,2026-07-25,2026-08-01,PASS,116.50,USD,7
AST-00294,Project G,Composite-Z,Tensile Strength,2026-02-08,2026-02-12,PASS,95.43,USD,4
AST-00295,Project E,Alloy-X,Chemical Compatibility,2026-03-13,2026-03-20,PASS,123.00,USD,7
AST-00296,Project F,Ceramic-C,Humidity Exposure,2026-07-03,2026-07-10,PASS,107.16,USD,7
AST-00297,Project E,Polymer-A,Impact Resistance,2026-06-24,2026-06-28,PASS,96.87,USD,4
AST-00298,Project G,Composite-Z,Salt Spray,2026-04-13,2026-04-19,PASS,95.58,USD,6
AST-00299,Project C,Alloy-X,Tensile Strength,2026-02-28,2026-03-06,PASS,123.20,USD,6
AST-00300,Project B,Copper-M,Thermal Cycling,2026-05-19,2026-05-28,PASS,120.89,USD,9
AST-00301,Project E,Alloy-X,Humidity Exposure,2026-07-16,2026-07-26,FAIL,103.77,USD,10
AST-00302,Project E,Copper-M,Chemical Compatibility,2026-03-01,2026-03-08,PASS,89.59,USD,7
AST-00303,Project D,Composite-Z,Thermal Cycling,2026-02-22,2026-03-04,PASS,105.23,USD,10
AST-00304,Project E,Ceramic-C,Thermal Cycling,2026-05-02,2026-05-10,PASS,85.10,USD,8
AST-00305,Project F,Polymer-A,Chemical Compatibility,2026-06-06,2026-06-10,PASS,87.46,USD,4
AST-00306,Project H,Copper-M,Humidity Exposure,2026-05-09,2026-05-16,PASS,97.92,USD,7
AST-00307,Project G,Copper-M,Chemical Compatibility,2026-03-01,2026-03-10,PASS,99.17,USD,9
AST-00308,Project C,Ceramic-C,Tensile Strength,2026-03-10,2026-03-16,PASS,103.66,USD,6
AST-00309,Project C,Polymer-A,Chemical Compatibility,2026-06-02,2026-06-09,PASS,125.54,USD,7
AST-00310,Project G,Composite-Z,Impact Resistance,2026-07-06,2026-07-10,PASS,84.70,USD,4
AST-00311,Project B,Ceramic-C,Thermal Cycling,2026-02-20,2026-02-26,PASS,92.86,USD,6
AST-00312,Project G,Polymer-A,Salt Spray,2026-04-07,2026-04-12,PASS,99.52,USD,5
AST-00313,Project B,Composite-Z,Humidity Exposure,2026-07-25,2026-08-04,PASS,84.71,USD,10
AST-00314,Project C,Polymer-A,Humidity Exposure,2026-07-31,2026-08-07,PASS,93.87,USD,7
AST-00315,Project A,Alloy-X,Salt Spray,2026-07-01,2026-07-05,FAIL,102.71,USD,4
AST-00316,Project F,Ceramic-C,Thermal Cycling,2026-06-09,2026-06-16,PASS,120.46,USD,7
AST-00317,Project J,Ceramic-C,Thermal Cycling,2026-04-06,2026-04-15,PASS,112.92,USD,9
AST-00318,Project E,Alloy-X,Salt Spray,2026-06-11,2026-06-20,PASS,109.08,USD,9
AST-00319,Project A,Polymer-A,Impact Resistance,2026-04-14,2026-04-21,PASS,127.36,USD,7
AST-00320,Project G,Alloy-X,Salt Spray,2026-02-07,2026-02-11,PASS,85.13,USD,4
AST-00321,Project D,Copper-M,Humidity Exposure,2026-05-15,2026-05-25,FAIL,91.41,USD,10
AST-00322,Project D,Copper-M,Salt Spray,2026-03-06,2026-03-15,PASS,118.08,USD,9
AST-00323,Project J,Copper-M,Humidity Exposure,2026-02-22,2026-03-02,PASS,120.96,USD,8
AST-00324,Project H,Alloy-X,Impact Resistance,2026-04-24,2026-05-02,PASS,115.40,USD,8
AST-00325,Project H,Composite-Z,Chemical Compatibility,2026-03-10,2026-03-19,PASS,102.99,USD,9
AST-00326,Project C,Alloy-X,Tensile Strength,2026-03-11,2026-03-21,PASS,125.03,USD,10
AST-00327,Project G,Composite-Z,Thermal Cycling,2026-06-05,2026-06-10,PASS,89.96,USD,5
AST-00328,Project B,Polymer-A,Chemical Compatibility,2026-05-26,2026-06-04,PASS,104.02,USD,9
AST-00329,Project A,Copper-M,Impact Resistance,2026-03-31,2026-04-06,PASS,111.72,USD,6
AST-00330,Project F,Copper-M,Humidity Exposure,2026-02-07,2026-02-11,PASS,85.36,USD,4
AST-00331,Project C,Ceramic-C,Impact Resistance,2026-02-05,2026-02-10,PASS,120.04,USD,5
AST-00332,Project I,Ceramic-C,Tensile Strength,2026-07-18,2026-07-27,FAIL,125.75,USD,9
AST-00333,Project E,Copper-M,Thermal Cycling,2026-06-02,2026-06-11,PASS,96.41,USD,9
AST-00334,Project C,Composite-Z,Impact Resistance,2026-05-30,2026-06-08,PASS,100.66,USD,9
AST-00335,Project B,Polymer-A,Thermal Cycling,2026-04-02,2026-04-06,FAIL,107.24,USD,4
AST-00336,Project G,Composite-Z,Humidity Exposure,2026-05-18,2026-05-23,PASS,99.04,USD,5
AST-00337,Project G,Ceramic-C,Chemical Compatibility,2026-02-05,2026-02-15,PASS,87.22,USD,10
AST-00338,Project I,Polymer-A,Salt Spray,2026-02-12,2026-02-21,PASS,122.32,USD,9
AST-00339,Project B,Polymer-A,Tensile Strength,2026-05-22,2026-05-29,PASS,121.92,USD,7
AST-00340,Project E,Composite-Z,Humidity Exposure,2026-04-25,2026-05-04,PASS,108.16,USD,9
AST-00341,Project A,Ceramic-C,Thermal Cycling,2026-02-24,2026-03-02,PASS,93.73,USD,6
AST-00342,Project J,Polymer-A,Chemical Compatibility,2026-07-15,2026-07-20,PASS,95.32,USD,5
AST-00343,Project F,Composite-Z,Humidity Exposure,2026-05-26,2026-05-31,PASS,101.40,USD,5
AST-00344,Project H,Ceramic-C,Salt Spray,2026-06-28,2026-07-03,PASS,123.05,USD,5
AST-00345,Project I,Ceramic-C,Salt Spray,2026-03-10,2026-03-20,PASS,99.63,USD,10
AST-00346,Project F,Composite-Z,Tensile Strength,2026-03-27,2026-04-01,PASS,120.78,USD,5
AST-00347,Project C,Alloy-X,Chemical Compatibility,2026-02-06,2026-02-13,PASS,86.16,USD,7
AST-00348,Project C,Ceramic-C,Tensile Strength,2026-03-26,2026-04-03,PASS,108.80,USD,8
AST-00349,Project C,Polymer-A,Humidity Exposure,2026-02-19,2026-02-26,PASS,90.55,USD,7
AST-00350,Project C,Polymer-A,Thermal Cycling,2026-07-27,2026-08-04,PASS,94.92,USD,8
